Time,Valence,Arousal
1.17,0.44,-0.39
1.95,0.44,-0.48
2.71,0.58,-0.51
3.30,0.57,-0.41
3.86,0.48,-0.46
4.47,0.51,-0.49
5.09,0.52,-0.32
5.80,0.67,-0.32
6.31,0.67,-0.21
6.81,0.55,-0.22
7.22,0.54,-0.12
7.66,0.65,-0.11
8.08,0.71,0.04
8.56,0.68,0.1
8.94,0.63,0.14
9.24,0.56,0.19
9.77,0.44,0.3
10.27,0.37,0.38
10.66,0.37,0.46
11.06,0.46,0.46
11.44,0.48,0.32
12.15,None,None
13.02,0.49,0.38
13.69,0.42,0.52
14.12,0.52,0.59
14.88,None,None
16.01,0.17,0.56
16.60,0.37,0.68
17.27,0.7,0.66
18.01,0.51,0.41
18.99,None,None
20.28,0.6,0.31
